Time: 08.07.2022 13:57:23;;;
Team: test;;;
Athlete name: Lasse I;;;
Device: NORDIC07;;;
Comment: ;;;
#SampleTime[s];Force_left[N];Force_right[N];
0.0000;-1.30;0.79;
0.0010;-1.07;0.74;
0.0020;-0.66;0.43;
0.0030;-0.41;0.32;
0.0040;-0.14;0.24;
0.0050;0.12;-0.03;
0.0060;0.64;-0.43;
0.0070;0.67;-0.79;
0.0080;0.80;-0.67;
0.0090;0.85;-0.56;
0.0100;0.53;-0.49;
0.0110;0.42;-0.39;
0.0120;0.34;-0.29;
0.0130;0.17;-0.19;
0.0140;0.06;-0.11;
0.0150;-0.08;0.05;
0.0160;-0.29;0.24;
0.0170;-0.38;0.06;
0.0180;-0.66;0.41;
0.0190;-0.93;0.71;
0.0200;-1.07;0.75;
0.0210;-1.08;0.82;
0.0220;-0.71;0.53;
0.0230;-0.42;0.21;
0.0240;-0.19;0.07;
0.0250;0.09;-0.09;
0.0260;0.52;-0.53;
0.0270;0.77;-0.54;
0.0280;1.00;-0.84;
0.0290;0.78;-0.65;
0.0300;0.46;-0.69;
0.0310;0.55;-0.42;
0.0320;0.18;-0.10;
0.0330;0.23;-0.10;
0.0340;-0.00;-0.09;
0.0350;-0.13;-0.11;
0.0360;-0.34;0.24;
0.0370;-0.39;0.09;
0.0380;-0.62;0.44;
0.0390;-1.28;0.75;
0.0400;-1.20;0.94;
0.0410;-1.09;0.99;
0.0420;-0.75;0.57;
0.0430;-0.32;0.19;
0.0440;-0.23;0.08;
0.0450;0.00;-0.28;
0.0460;0.65;-0.58;
0.0470;0.80;-0.80;
0.0480;0.97;-0.93;
0.0490;0.77;-0.74;
0.0500;0.49;-0.44;
0.0510;0.49;-0.54;
0.0520;0.32;-0.22;
0.0530;0.14;-0.05;
0.0540;-0.08;-0.17;
0.0550;-0.20;-0.01;
0.0560;-0.30;-0.01;
0.0570;-0.49;0.35;
0.0580;-0.68;0.45;
0.0590;-0.86;0.80;
0.0600;-1.12;0.85;
0.0610;-1.08;0.77;
0.0620;-0.82;0.59;
0.0630;-0.23;0.30;
0.0640;-0.19;0.04;
0.0650;0.22;-0.09;
0.0660;0.65;-0.39;
0.0670;0.75;-0.76;
0.0680;0.91;-0.67;
0.0690;0.79;-0.78;
0.0700;0.57;-0.50;
0.0710;0.20;-0.38;
0.0720;0.34;-0.25;
0.0730;0.14;-0.06;
0.0740;0.16;-0.22;
0.0750;-0.01;0.07;
0.0760;-0.40;0.22;
0.0770;-0.33;0.22;
0.0780;-0.60;0.38;
0.0790;-1.17;0.66;
0.0800;-1.32;0.99;
0.0810;-1.24;0.90;
0.0820;-0.82;0.60;
0.0830;-0.28;0.46;
0.0840;-0.43;0.15;
0.0850;0.16;-0.23;
0.0860;0.63;-0.40;
0.0870;0.95;-0.61;
0.0880;1.02;-0.78;
0.0890;0.84;-0.73;
0.0900;0.80;-0.60;
0.0910;0.44;-0.50;
0.0920;0.19;-0.35;
0.0930;0.08;-0.42;
0.0940;0.17;-0.06;
0.0950;-0.07;0.04;
0.0960;-0.44;0.06;
0.0970;-0.54;0.24;
0.0980;-0.63;0.47;
0.0990;-1.07;0.77;
0.1000;-1.20;0.92;
0.1010;-1.16;1.00;
0.1020;-0.83;0.66;
0.1030;-0.47;0.30;
0.1040;-0.19;0.20;
0.1050;0.07;0.03;
0.1060;0.54;-0.53;
0.1070;1.16;-0.67;
0.1080;0.92;-0.91;
0.1090;0.87;-0.74;
0.1100;0.79;-0.63;
0.1110;0.43;-0.64;
0.1120;0.27;-0.28;
0.1130;0.17;-0.25;
0.1140;0.10;0.00;
