Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
0.0000;0.14;-0.62;
0.0010;0.16;-0.36;
0.0020;0.14;-0.32;
0.0030;0.08;-0.12;
0.0040;-0.01;-0.06;
0.0050;-0.03;0.13;
0.0060;0.05;0.27;
0.0070;-0.05;0.25;
0.0080;-0.16;0.65;
0.0090;-0.39;1.11;
0.0100;-0.44;1.44;
0.0110;-0.48;1.42;
0.0120;-0.33;0.94;
0.0130;-0.19;0.33;
0.0140;-0.09;0.08;
0.0150;0.11;-0.35;
0.0160;0.39;-1.12;
0.0170;0.52;-1.32;
0.0180;0.33;-1.53;
0.0190;0.34;-1.04;
0.0200;0.22;-0.62;
0.0210;0.13;-0.40;
0.0220;0.02;-0.17;
0.0230;0.13;-0.33;
0.0240;0.05;0.05;
0.0250;-0.08;0.14;
0.0260;-0.15;0.34;
0.0270;-0.06;0.08;
0.0280;-0.19;0.61;
0.0290;-0.60;1.28;
0.0300;-0.51;1.40;
0.0310;-0.50;1.32;
0.0320;-0.34;0.68;
0.0330;-0.10;0.30;
0.0340;-0.12;0.13;
0.0350;0.02;-0.44;
0.0360;0.21;-1.06;
0.0370;0.46;-1.30;
0.0380;0.39;-1.55;
0.0390;0.21;-1.16;
0.0400;0.18;-0.61;
0.0410;-0.05;-0.46;
0.0420;0.03;-0.31;
0.0430;0.04;-0.11;
0.0440;0.00;-0.12;
0.0450;-0.04;0.07;
0.0460;-0.21;0.29;
0.0470;-0.11;0.24;
0.0480;-0.24;0.49;
0.0490;-0.61;1.32;
0.0500;-0.49;1.50;
0.0510;-0.56;1.33;
0.0520;-0.39;0.82;
0.0530;-0.07;0.31;
0.0540;-0.04;0.17;
0.0550;0.30;-0.35;
0.0560;0.26;-1.00;
0.0570;0.46;-1.26;
0.0580;0.52;-1.39;
0.0590;0.35;-1.06;
0.0600;0.23;-0.57;
0.0610;0.17;-0.51;
0.0620;0.17;-0.15;
0.0630;0.07;-0.20;
0.0640;0.06;-0.07;
0.0650;-0.10;-0.02;
0.0660;-0.04;0.36;
0.0670;-0.08;0.27;
0.0680;-0.18;0.54;
0.0690;-0.44;1.41;
0.0700;-0.57;1.36;
0.0710;-0.52;1.14;
0.0720;-0.31;0.81;
0.0730;-0.17;0.36;
0.0740;-0.11;-0.01;
0.0750;0.11;-0.43;
0.0760;0.29;-1.09;
0.0770;0.42;-1.34;
0.0780;0.35;-1.67;
0.0790;0.35;-0.98;
0.0800;0.26;-0.67;
0.0810;0.16;-0.46;
0.0820;-0.01;-0.28;
0.0830;0.02;-0.26;
0.0840;0.05;0.06;
0.0850;-0.12;0.13;
0.0860;-0.16;0.42;
0.0870;-0.09;0.15;
0.0880;-0.30;0.63;
0.0890;-0.51;1.20;
0.0900;-0.51;1.46;
0.0910;-0.43;1.27;
0.0920;-0.13;0.87;
0.0930;-0.12;0.51;
0.0940;-0.18;0.13;
0.0950;0.12;-0.37;
0.0960;0.32;-1.11;
0.0970;0.48;-1.46;
0.0980;0.52;-1.53;
0.0990;0.16;-1.06;
0.1000;0.15;-0.57;
0.1010;0.11;-0.47;
0.1020;0.10;-0.34;
0.1030;0.16;-0.29;
0.1040;0.01;-0.05;
0.1050;-0.14;0.13;
0.1060;-0.12;0.30;
0.1070;-0.11;0.28;
0.1080;-0.15;0.67;
0.1090;-0.36;1.40;
0.1100;-0.68;1.24;
0.1110;-0.45;1.34;
0.1120;-0.30;0.88;
0.1130;-0.14;0.36;
0.1140;-0.04;0.15;
0.1150;0.07;-0.47;
0.1160;0.27;-1.03;
0.1170;0.46;-1.35;
0.1180;0.56;-1.60;
0.1190;0.28;-1.12;
0.1200;-0.00;-0.47;
0.1210;0.03;-0.32;
0.1220;0.20;-0.22;
0.1230;-0.05;-0.25;
0.1240;-0.17;-0.02;
0.1250;0.08;0.19;
0.1260;-0.01;0.25;
0.1270;-0.27;0.24;
0.1280;-0.32;0.71;
0.1290;-0.58;1.36;
0.1300;-0.57;1.57;
0.1310;-0.41;1.35;
0.1320;-0.29;1.04;
0.1330;-0.14;0.36;
0.1340;-0.16;0.15;
0.1350;0.07;-0.17;
0.1360;0.42;-1.05;
0.1370;0.30;-1.21;
0.1380;0.40;-1.38;
0.1390;0.54;-1.08;
0.1400;-0.06;-0.65;
0.1410;0.10;-0.48;
0.1420;0.07;-0.26;
0.1430;-0.04;-0.15;
0.1440;-0.04;-0.08;
0.1450;-0.20;0.21;
0.1460;-0.17;0.28;
0.1470;-0.25;0.13;
0.1480;-0.21;0.73;
0.1490;-0.55;1.25;
0.1500;-0.62;1.40;
0.1510;-0.56;1.16;
0.1520;-0.33;0.87;
0.1530;-0.17;0.35;
0.1540;-0.10;-0.00;
0.1550;0.24;-0.34;
0.1560;0.31;-1.03;
0.1570;0.33;-1.29;
0.1580;0.49;-1.60;
0.1590;0.26;-1.05;
0.1600;0.15;-0.55;
0.1610;0.18;-0.66;
0.1620;0.07;-0.42;
0.1630;0.05;-0.16;
0.1640;0.02;-0.09;
0.1650;-0.14;0.18;
0.1660;-0.17;0.24;
0.1670;-0.19;0.05;
0.1680;-0.28;0.61;
0.1690;-0.34;1.18;
0.1700;-0.52;1.34;
